name,start,end,type
country,1,2,String
time_div,3,4,String
state,5,6,String
airport,7,9,String
location_type,10,10,String
utc_var,11,15,Int
dst_var_1,16,20,Int
dst_start_time_1,21,24,Int
dst_start_date_1,25,30,String
dst_start_st_1,31,31,String
dst_end_time_1,32,35,Int
dst_end_date_1,36,41,String
dest_end_st_1,42,42,String
dataind_1,43,44,String
dst_var_2,45,49,Int
dst_start_time_2,50,53,Int
dst_start_date_2,54,59,String
dst_start_st_2,60,60,String
dst_end_time_2,61,64,Int
dst_end_date_2,65,70,String
dest_end_st_2,71,71,String
dataind_2,72,73,String
dst_var_3,74,78,Int
dst_start_time_3,79,82,Int
dst_start_date_3,83,88,String
dst_start_st_3,89,89,String
dst_end_time_3,90,93,Int
dst_end_date_3,94,99,String
dest_end_st_3,100,100,String
latitude_degrees,140,141,Int
latitude_minutes,143,144,Int
latitude_seconds,146,147,Int
latitude_hemisphere,148,148,String
longitude_degrees,149,151,Int
longitude_minutes,153,154,Int
longitude_seconds,156,157,Int
longitude_hemisphere,158,158,String
metro_area,159,161,String
status,162,162,String
location_subtype,163,163,String
location_subctry,167,168,String
