dei,name
1,joint_op_carriers
2,operating_airline_disclosure_code_share
3,aircraft_owner
4,cockpit_crew_employer
5,cabin_crew_employer
6,onward_flight
7,meal_service_note
9,operating_airline_disclosure_shared_airline
10,duplicate_leg_id
11,partnership_spec
50,operational_leg_id
101,prbd_segment_override
102,prbm_segment_override
104,blocked_seats
105,restricted_payload
106,prbd_exceed_max_length
107,prbm_exceed_max_length
108,acv_exceed_max_length
109,meal_service_note_exceed_max_length
111,meal_service_segment_override
113,aircraft_owner_spec
114,cockpit_crew_employer_spec
115,cabin_crew_employer_spec
121,aircraft_type_publication_override
122,flight_number_override
125,joint_op_airline_designators_segment_override
127,operating_airline_disclosure
170,traffic_restriction_passengers
171,traffic_restriction_cargo_mail
172,traffic_restriction_cargo
173,traffic_restriction_mail
198,passenger_terminal_arrival_segment_override
199,passenger_terminal_departure_segment_override
201,subject_to_govt_approval
210,plane_change_without_aircraft_type_change
220,min_connecting_time_status_override
299,passenger_check_in
301,flagland_off_point
302,flagland_off_and_board_point
303,flagland_board_point
501,on_time_performance_indicator
502,on_time_performance_indicator_delays_cancellations
503,in_flight_service_info
504,secure_flight_indicator
505,electronic_ticketing_info
507,request_all_reservations
710,traffic_restriction_qualifier_board
711,traffic_restriction_qualifier_off
712,traffic_restriction_qualifier_board_off
800,free_format_bilateral
900,free_format_internal
973,two_letter_class_code
