name,start,end,type
record_type,1,1,Int
arrival_station,2,4,String
time,5,8,Int
international_domestic_status,9,10,String
departure_station,11,13,String
arrival_carrier,14,15,String
arrival_codeshare_indicator,16,16,String
arrival_codeshare_carrier,17,18,String
departure_carrier,19,20,String
departure_codeshare_indicator,21,21,String
departure_codeshare_carrier,22,23,String
arrival_aircraft_type,24,26,String
arrival_aircraft_bodytype,27,27,String
departure_aircraft_type,28,30,String
departure_aircraft_bodytype,31,31,String
arrival_terminal,32,33,String
departure_terminal,34,35,String
previous_country,36,37,String
previous_station,38,40,String
next_country,41,42,String
next_station,43,45,String
arrival_flight_number_range_start,46,49,Int
arrival_flight_number_range_end,50,53,Int
departure_flight_number_range_start,54,57,Int
departure_flight_number_range_end,58,61,Int
previous_state,62,63,String
next_state,64,65,String
previous_region,66,68,String
next_region,69,71,String
effective_date,72,78,Date
discontinue_date,79,85,Date
suppression_indicator,87,87,String
suppression_region,88,90,String
suppression_country,91,92,String
suppression_state,93,94,String
submitting_carrier_identifier,95,96,String
filing_date,97,103,Date
action_indicator,104,104,String
serial_number,195,200,Int
