name,start,end,type
serial_number,195,200,Int
time,5,8,Int
international_domestic_status,9,10,String
suppression_indicator,87,87,String
suppression_region,88,90,String
suppression_country,91,92,String
suppression_state,93,94,String
arrival_station,2,4,String
departure_station,11,13,String
effective_date,72,78,Date
discontinue_date,79,85,Date
arrival_aircraft_bodytype,27,27,String
departure_aircraft_bodytype,31,31,String
arrival_aircraft_type,24,26,String
departure_aircraft_type,28,30,String
previous_station,38,40,String
previous_region,66,68,String
next_region,69,71,String
previous_country,36,37,String
next_country,41,42,String
previous_state,62,63,String
next_state,64,65,String
next_station,43,45,String
arrival_terminal,32,33,String
departure_terminal,34,35,String
arrival_flight_number_range_end,50,53,Int
arrival_flight_number_range_start,46,49,Int
departure_flight_number_range_end,58,61,Int
departure_flight_number_range_start,54,57,Int
arrival_codeshare_carrier,17,18,String
arrival_carrier,14,15,String
arrival_codeshare_indicator,16,16,String
departure_codeshare_carrier,22,23,String
departure_carrier,19,20,String
departure_codeshare_indicator,21,21,String
