name,start,end,type
record_type,1,1,String
time_mode,2,2,String
carrier,3,5,String
season,11,13,String
effective_date,15,21,Date
discontinue_date,22,28,Date
creation_date,29,35,Date
title_of_data,36,64,String
release_date,65,71,Date
schedule_status,72,72,String
creator_reference,73,107,String
duplicate_airline_designator_marker,108,108,String
general_information,109,169,String
in_flight_service_information,170,188,String
electronic_ticketing_information,189,190,String
creation_time,191,194,Int
serial_number,195,200,Int
